project,rule_id,location,line,context,in_test_path,classification,justification
django,pqc-scan.source.md5.bare-call,tests/db_functions/text/test_md5.py,26,"md5_alias=MD5(""alias""),",yes,true-positive-mixed,MD5() bare-name matches in test/legacy paths
django,pqc-scan.source.sha1.python-hashlib,django/contrib/auth/hashers.py,377,digest = hashlib.sha1,no,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,django/contrib/auth/hashers.py,668,hash = hashlib.sha1((salt + password).encode()).hexdigest(),no,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,django/contrib/auth/hashers.py,770,hash = hashlib.sha1(password.encode()).hexdigest(),no,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.bare-call,django/db/models/functions/text.py,294,"class SHA1(OracleHashMixin, PostgreSQLSHAMixin, Transform):",no,true-positive-mixed,SHA1() bare-name matches
django,pqc-scan.source.sha1.python-hashlib,django/template/loaders/cached.py,96,"return hashlib.sha1(""|"".join(values).encode()).hexdigest()",no,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.bare-call,tests/db_functions/text/test_sha1.py,26,"sha1_alias=SHA1(""alias""),",yes,true-positive-mixed,SHA1() bare-name matches
django,pqc-scan.source.sha1.python-hashlib,tests/file_uploads/tests.py,114,"post_data[key + ""_hash""] = hashlib.sha1(",yes,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,tests/file_uploads/tests.py,119,"post_data[key + ""_hash""] = hashlib.sha1(",yes,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,tests/file_uploads/views.py,50,new_hash = hashlib.sha1(value.read()).hexdigest(),yes,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,tests/file_uploads/views.py,52,new_hash = hashlib.sha1(value.encode()).hexdigest(),yes,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,tests/utils_tests/test_crypto.py,32,"{""secret"": ""x"" * hashlib.sha1().block_size},",yes,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,tests/utils_tests/test_crypto.py,70,"""digest"": hashlib.sha1,",yes,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,tests/utils_tests/test_crypto.py,80,"""digest"": hashlib.sha1,",yes,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,tests/utils_tests/test_crypto.py,90,"""digest"": hashlib.sha1,",yes,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,tests/utils_tests/test_crypto.py,101,"#         ""digest"": hashlib.sha1,",yes,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,tests/utils_tests/test_crypto.py,111,"""digest"": hashlib.sha1,",yes,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,tests/utils_tests/test_crypto.py,121,"""digest"": hashlib.sha1,",yes,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
django,pqc-scan.source.sha1.python-hashlib,tests/utils_tests/test_crypto.py,170,"""digest"": hashlib.sha1,",yes,true-positive-mixed,"django's PBKDF2/SHA1 password hasher is a deprecated-but-supported migration helper; some hits are legitimate, others in tests"
ansible,pqc-scan.source.rc4.bare-name,test/integration/targets/prepare_http_tests/tasks/kerberos.yml,5,# FreeBSD needs to enable the OpenSSL legacy providers for RC4 support.,yes,true-positive-test-only,RC4 in cipher-suite test fixtures
ansible,pqc-scan.source.rc4.bare-name,test/integration/targets/prepare_http_tests/tasks/kerberos.yml,6,# While RC4 isn't used Heimdal is currently requiring it as part of a,yes,true-positive-test-only,RC4 in cipher-suite test fixtures
ansible,pqc-scan.source.md5.python-hashlib,test/units/module_utils/basic/test_get_available_hash_algorithms.py,24,mocker.patch('hashlib.md5').side_effect = ValueError()  # using md5 in FIPS mode raises a ValueError,yes,true-positive-test-only,"MD5 reference inside a test that mocks hashlib.md5 — true match, but in test infra"
ansible,pqc-scan.cert.md5-signature-hash,test/units/module_utils/urls/fixtures/cbt/rsa_md5.pem,,subject=CN=SERVER2016,yes,true-positive-test-only,test cert with md5 sig hash
ansible,pqc-scan.source.sha1.python-hashlib,lib/ansible/cli/scripts/ansible_connection_cli_stub.py,44,if data_hash != hashlib.sha1(data).hexdigest():,no,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.sha1.python-hashlib,lib/ansible/module_utils/connection.py,62,data_hash = to_bytes(hashlib.sha1(src).hexdigest()),no,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.rsa.ssh-rsa,lib/ansible/modules/known_hosts.py,35,"- Should be of format C(<hostname[,IP]> ssh-rsa <pubkey>).",no,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,lib/ansible/modules/known_hosts.py,80,"key: host1.example.com,10.9.8.77 ssh-rsa ASDeararAIUHI324324  # some key gibberish",no,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,lib/ansible/modules/known_hosts.py,87,key: '[host1.example.com]:2222 ssh-rsa ASDeararAIUHI324324' # some key gibberish,no,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.sha1.python-hashlib,lib/ansible/modules/known_hosts.py,297,"hashed_host = hmac.new(hmac_key, to_bytes(host), hashlib.sha1).digest()",no,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.ecdh.bare-name,lib/ansible/modules/uri.py,376,- ECDH+AESGCM,no,true-positive-mixed,ECDH appears in cipher-suite specifiers and tests
ansible,pqc-scan.source.ecdh.bare-name,lib/ansible/modules/uri.py,377,- ECDH+CHACHA20,no,true-positive-mixed,ECDH appears in cipher-suite specifiers and tests
ansible,pqc-scan.source.ecdh.bare-name,lib/ansible/modules/uri.py,378,- ECDH+AES,no,true-positive-mixed,ECDH appears in cipher-suite specifiers and tests
ansible,pqc-scan.source.ecdh.bare-name,lib/ansible/modules/uri.py,389,ciphers: '@SECLEVEL=2:ECDH+AESGCM:ECDH+CHACHA20:ECDH+AES:DHE+AES:!aNULL:!eNULL:!aDSS:!SHA1:!AESCCM',no,true-positive-mixed,ECDH appears in cipher-suite specifiers and tests
ansible,pqc-scan.source.ecdh.bare-name,lib/ansible/modules/uri.py,389,ciphers: '@SECLEVEL=2:ECDH+AESGCM:ECDH+CHACHA20:ECDH+AES:DHE+AES:!aNULL:!eNULL:!aDSS:!SHA1:!AESCCM',no,true-positive-mixed,ECDH appears in cipher-suite specifiers and tests
ansible,pqc-scan.source.ecdh.bare-name,lib/ansible/modules/uri.py,389,ciphers: '@SECLEVEL=2:ECDH+AESGCM:ECDH+CHACHA20:ECDH+AES:DHE+AES:!aNULL:!eNULL:!aDSS:!SHA1:!AESCCM',no,true-positive-mixed,ECDH appears in cipher-suite specifiers and tests
ansible,pqc-scan.source.rsa.ssh-rsa,lib/ansible/modules/user.py,437,'ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC95opt4SPEC06tOYsJQJIuN23BbLMGmYo8ysVZQc4h2DZE9ugbjWWGS1/pweUGjVstgzMkBEeBCByaEf/,no,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.sha1.python-hashlib,lib/ansible/plugins/connection/ssh.py,607,m = hashlib.sha1(),no,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.sha1.python-hashlib,lib/ansible/plugins/inventory/__init__.py,312,m = hashlib.sha1(),no,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.sha1.python-hashlib,lib/ansible/plugins/inventory/__init__.py,316,n = hashlib.sha1(),no,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.sha1.python-hashlib,lib/ansible/plugins/lookup/password.py,270,"lockfile_name = to_bytes(""%s.ansible_lockfile"" % hashlib.sha1(b_path).hexdigest())",no,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.sha1.python-hashlib,lib/ansible/plugins/shell/sh.py,70,"u""({0} -c 'import hashlib; BLOCKSIZE = 65536; hasher = hashlib.sha1();{2}afile = open(\""'{1}'\"", \""rb\""){2}buf = afile.r",no,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.sha1.python-hashlib,test/integration/targets/command_shell/tasks/main.yml,272,"command: ""{{ ansible_python.executable }} -c 'import hashlib, sys; print(hashlib.sha1((sys.stdin.buffer if hasattr(sys.s",yes,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.sha1.python-hashlib,test/integration/targets/command_shell/tasks/main.yml,393,"| {{ ansible_python.executable }} -c 'import hashlib, sys; print(hashlib.sha1((sys.stdin.buffer if hasattr(sys.stdin, ""b",yes,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.sha1.python-hashlib,test/integration/targets/command_shell/tasks/main.yml,402,"- shell_result5.cmd == 'echo this is a ""multiline echo"" ""with a new line\nin quotes"" | ' + ansible_python.executable + '",yes,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.ecdsa.bare-name,test/integration/targets/get_url/tasks/ciphers.yml,11,ciphers: ECDHE-ECDSA-AES128-SHA,yes,true-positive-mixed,ECDSA mentioned in cipher specs and ssh tests
ansible,pqc-scan.source.rsa.ssh-rsa,test/integration/targets/known_hosts/defaults/main.yml,3,example.org ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAAAglyZmHHWskQ9wkh8LYbIqzvg99/oloneH7BaZ02ripJUy/2Zynv4tgUfm9fdXvAb1XXCEuTR,yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.ed25519.ssh-ed25519,test/integration/targets/known_hosts/defaults/main.yml,5,example.org ssh-ed25519 AAAAC3NzaC1lZDI1NTE5AAAAIIzlnSq5ESxLgW0avvPk3j7zLV59hcAPkxrMNdnZMKP2,yes,true-positive-test-only,ssh-ed25519 in test ssh inventory fixtures
ansible,pqc-scan.source.ed25519.ssh-ed25519,test/integration/targets/known_hosts/defaults/main.yml,7,host.example.com ssh-ed25519 AAAAC3NzaC1lZDI1NTE5AAAAIFp8VtD59XAcxkj1qbfCtB1in9nm5WiipORjtVJUBA6I,yes,true-positive-test-only,ssh-ed25519 in test ssh inventory fixtures
ansible,pqc-scan.source.ed25519.ssh-ed25519,test/integration/targets/known_hosts/defaults/main.yml,9,@cert-authority *.example.com ssh-ed25519 AAAAC3NzaC1lZDI1NTE5AAAAIPx6KAHnQhaWdYQoaclJMWfneZckvYOkZ32gUJO1zzJK,yes,true-positive-test-only,ssh-ed25519 in test ssh inventory fixtures
ansible,pqc-scan.source.ed25519.ssh-ed25519,test/integration/targets/known_hosts/defaults/main.yml,11,host.example.com ssh-ed25519-cert-v01@openssh.com AAAAIHNzaC1lZDI1NTE5LWNlcnQtdjAxQG9wZW5zc2guY29tAAAAIHgrfzePvYcPiRDh/3,yes,true-positive-test-only,ssh-ed25519 in test ssh inventory fixtures
ansible,pqc-scan.source.ecdsa.bare-name,test/integration/targets/lookup_url/tasks/main.yml,44,ansible_lookup_url_ciphers: ECDHE-ECDSA-AES128-SHA,yes,true-positive-mixed,ECDSA mentioned in cipher specs and ssh tests
ansible,pqc-scan.source.ecdsa.bare-name,test/integration/targets/uri/tasks/ciphers.yml,16,ciphers: ECDHE-ECDSA-AES128-SHA,yes,true-positive-mixed,ECDSA mentioned in cipher specs and ssh tests
ansible,pqc-scan.source.ecdsa.bare-name,test/integration/targets/uri/tasks/ciphers.yml,23,ciphers: ECDHE-ECDSA-AES128-SHA,yes,true-positive-mixed,ECDSA mentioned in cipher specs and ssh tests
ansible,pqc-scan.source.ecdsa.cryptography-ec-import,test/lib/ansible_test/_internal/ci/__init__.py,152,from cryptography.hazmat.primitives.asymmetric import ec,yes,true-positive,real cryptography.ec import in ansible's signing module
ansible,pqc-scan.source.ecdsa.cryptography-ec-call,test/lib/ansible_test/_internal/ci/__init__.py,158,"assert isinstance(private_key, ec.EllipticCurvePrivateKey)",yes,true-positive,real ec.generate_private_key call in ansible's signing module
ansible,pqc-scan.source.ecdsa.bare-name,test/lib/ansible_test/_internal/ci/__init__.py,160,"signature_raw_bytes = private_key.sign(payload_bytes, ec.ECDSA(hashes.SHA256()))",yes,true-positive-mixed,ECDSA mentioned in cipher specs and ssh tests
ansible,pqc-scan.source.ecdsa.cryptography-ec-import,test/lib/ansible_test/_internal/ci/__init__.py,169,from cryptography.hazmat.primitives.asymmetric import ec,yes,true-positive,real cryptography.ec import in ansible's signing module
ansible,pqc-scan.source.ecdsa.cryptography-ec-call,test/lib/ansible_test/_internal/ci/__init__.py,171,"private_key = ec.generate_private_key(ec.SECP384R1(), default_backend())",yes,true-positive,real ec.generate_private_key call in ansible's signing module
ansible,pqc-scan.source.ecdsa.cryptography-ec-call,test/lib/ansible_test/_internal/ci/__init__.py,171,"private_key = ec.generate_private_key(ec.SECP384R1(), default_backend())",yes,true-positive,real ec.generate_private_key call in ansible's signing module
ansible,pqc-scan.jwt.es256.token,test/lib/ansible_test/_internal/commands/integration/cloud/galaxy.py,58,"'PULP_TOKEN_SIGNATURE_ALGORITHM': 'ES256',",yes,true-positive-test-only,"ES256 in ansible-test integration config; correctly identified as JWT PQC migration surface, in test infra"
ansible,pqc-scan.source.rsa.ssh-rsa,test/lib/ansible_test/_internal/ssh.py,54,# Newer OpenSSH clients connecting to older SSH servers must explicitly enable ssh-rsa support.,yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/lib/ansible_test/_internal/ssh.py,55,"# OpenSSH 8.8, released on 2021-09-26, deprecated using RSA with the SHA-1 hash algorithm (ssh-rsa).",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/lib/ansible_test/_internal/ssh.py,58,"algorithms = '+ssh-rsa'  # append the algorithm to the default list, requires OpenSSH 7.0 or later",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.sha1.python-hashlib,test/support/network-integration/collections/ansible_collections/ansible/netcommon/plugins/action/net_get.py,160,sha1 = hashlib.sha1(),yes,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.sha1.python-hashlib,test/support/network-integration/collections/ansible_collections/ansible/netcommon/plugins/action/net_get.py,165,sha1 = hashlib.sha1(),yes,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.sha1.python-hashlib,test/support/network-integration/collections/ansible_collections/ansible/netcommon/plugins/action/net_put.py,179,sha1 = hashlib.sha1(),yes,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.sha1.python-hashlib,test/support/network-integration/collections/ansible_collections/ansible/netcommon/plugins/action/net_put.py,184,sha1 = hashlib.sha1(),yes,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.sha1.python-hashlib,test/support/network-integration/collections/ansible_collections/ansible/netcommon/plugins/module_utils/network/common/config.py,193,sha1 = hashlib.sha1(),yes,true-positive-mixed,real SHA-1 use in ansible's ssh fingerprint and template helpers
ansible,pqc-scan.source.ecdsa.cryptography-ec-import,test/units/ansible_test/ci/util.py,41,from cryptography.hazmat.primitives.asymmetric import ec,yes,true-positive,real cryptography.ec import in ansible's signing module
ansible,pqc-scan.source.ecdsa.bare-name,test/units/ansible_test/ci/util.py,49,"ec.ECDSA(hashes.SHA256()),",yes,true-positive-mixed,ECDSA mentioned in cipher specs and ssh tests
ansible,pqc-scan.cert.ecdsa-public-key,test/units/module_utils/urls/fixtures/cbt/ecdsa_sha256.pem,,subject=CN=SERVER2016,yes,true-positive-test-only,ECDSA cert fixture for URL/SSL test
ansible,pqc-scan.cert.ecdsa-public-key,test/units/module_utils/urls/fixtures/cbt/ecdsa_sha512.pem,,subject=CN=SERVER2016,yes,true-positive-test-only,ECDSA cert fixture for URL/SSL test
ansible,pqc-scan.cert.rsa-public-key,test/units/module_utils/urls/fixtures/cbt/rsa-pss_sha256.pem,,subject=CN=DC01.omi.test,yes,true-positive-test-only,RSA cert fixtures for vault/SSL tests
ansible,pqc-scan.cert.rsa-public-key,test/units/module_utils/urls/fixtures/cbt/rsa-pss_sha512.pem,,subject=CN=DC01.omi.test,yes,true-positive-test-only,RSA cert fixtures for vault/SSL tests
ansible,pqc-scan.cert.rsa-public-key,test/units/module_utils/urls/fixtures/cbt/rsa_md5.pem,,subject=CN=SERVER2016,yes,true-positive-test-only,RSA cert fixtures for vault/SSL tests
ansible,pqc-scan.cert.rsa-public-key,test/units/module_utils/urls/fixtures/cbt/rsa_sha1.pem,,subject=CN=SERVER2016,yes,true-positive-test-only,RSA cert fixtures for vault/SSL tests
ansible,pqc-scan.cert.sha1-signature-hash,test/units/module_utils/urls/fixtures/cbt/rsa_sha1.pem,,subject=CN=SERVER2016,yes,true-positive-test-only,test cert with sha1 sig hash
ansible,pqc-scan.cert.rsa-public-key,test/units/module_utils/urls/fixtures/cbt/rsa_sha256.pem,,subject=CN=SERVER2016,yes,true-positive-test-only,RSA cert fixtures for vault/SSL tests
ansible,pqc-scan.cert.rsa-public-key,test/units/module_utils/urls/fixtures/cbt/rsa_sha384.pem,,subject=CN=SERVER2016,yes,true-positive-test-only,RSA cert fixtures for vault/SSL tests
ansible,pqc-scan.cert.rsa-public-key,test/units/module_utils/urls/fixtures/client.pem,,"subject=CN=client.ansible.http.tests,O=Ansible,ST=North Carolina,C=US",yes,true-positive-test-only,RSA cert fixtures for vault/SSL tests
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,25,key = 'example.com ssh-rsa AAAAetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,31,"'after': 'example.com ssh-rsa AAAAetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,36,'two.example.com ssh-rsa BBBBetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,38,key = 'one.example.com ssh-rsa AAAAetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,43,"'before': 'two.example.com ssh-rsa BBBBetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,44,"'after': 'two.example.com ssh-rsa BBBBetc\none.example.com ssh-rsa AAAAetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,44,"'after': 'two.example.com ssh-rsa BBBBetc\none.example.com ssh-rsa AAAAetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,49,'one.example.com ssh-rsa AAAAetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,50,'two.example.com ssh-rsa BBBBetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,52,key = 'one.example.com ssh-rsa AAAAetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,57,"'before': 'one.example.com ssh-rsa AAAAetc\ntwo.example.com ssh-rsa BBBBetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,57,"'before': 'one.example.com ssh-rsa AAAAetc\ntwo.example.com ssh-rsa BBBBetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,58,"'after': 'one.example.com ssh-rsa AAAAetc\ntwo.example.com ssh-rsa BBBBetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,58,"'after': 'one.example.com ssh-rsa AAAAetc\ntwo.example.com ssh-rsa BBBBetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,63,'one.example.com ssh-rsa AAAaetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,64,'two.example.com ssh-rsa BBBBetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,66,key = 'one.example.com ssh-rsa AAAAetc\n',yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,71,"'before': 'one.example.com ssh-rsa AAAaetc\ntwo.example.com ssh-rsa BBBBetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,71,"'before': 'one.example.com ssh-rsa AAAaetc\ntwo.example.com ssh-rsa BBBBetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,72,"'after': 'two.example.com ssh-rsa BBBBetc\none.example.com ssh-rsa AAAAetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
ansible,pqc-scan.source.rsa.ssh-rsa,test/units/modules/test_known_hosts.py,72,"'after': 'two.example.com ssh-rsa BBBBetc\none.example.com ssh-rsa AAAAetc\n',",yes,true-positive-test-only-mostly,"ssh-rsa string in test playbooks/inventories; predominantly test paths, some legitimate runtime ssh code"
